Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Mayo de 2012
298740|Patente|PA/a/2005/011886|04/11/2005|02/05/2012|<i>A61K38/00</i> <b>(2006-01)</b>|METODOS Y COMPOSICIONES PARA LA PREVENCION Y TRATAMIENTO DE SEPTICEMIA.|Un método para prevenir o tratar la septicemia administrando conjuntamente a un paciente una cantidad para prevenir o tratar la septicemia de uno o más inhibidores del complemento y una cantidad para prevenir o tratar la septicemia de uno o más inhibidores de la vía CD14. Los inhibidores del complemento son de preferencia anticuerpos que se unen a proteínas del complemento como C5a y las inhiben y los inhibidores de la vía CD14 son de preferencia anticuerpos que se unen a componentes de la vía CD14 como CD14 y LPS y los inhiben.|FUNG, SEK CHUNG; MOLLNES, TOM, EIRIK; Deal Street 3511, 77025, Houston, Texas, E.U.A.|TANOX, INC.*; MEDINNOVA AS; Stella Link Road 10301, 77025-5497, Houston, Texas, E.U.A.|
298751|Patente|MX/a/2010/004735|29/04/2010|02/05/2012|<i>G01N33/569</i> <b>(2006-01)</b>; <i>A61K39/00</i> <b>(2006-01)</b>|DIVA (INFECCION DIFERENCIADA DE ANIMALES VACUNADOS) DE EHRLICHIA CANIS.|La invención proporciona antígenos de Ehrlichia canis que se pueden usar para detectar animales infectados por E. canis a pesar de que los animales hayan sido vacunados o no contra E. canis. La invención proporciona también composiciones y métodos para determinar la presencia de antígenos y anticuerpos de E. canis.|EUGENE REGIS KRAH, III; THOMAS PATRICK O'CONNOR, JR.; MELISSA BEALL; RAMASWAMY CHANDRASHEKAR; 3 Estes Drive, 04032, Freeport, Maine, E.U.A.|IDEXX LABORATORIES, INC.*; One IDEXX Drive, 04092, Westbrook, Maine, E.U.A.|
298752|Patente|MX/a/2007/013627|29/10/2007|02/05/2012|<i>A61B5/00</i> <b>(2006-01)</b>; <i>A61B5/021</i> <b>(2006-01)</b>; <i>G06F19/00</i> <b>(2011-01)</b>|DISPOSITIVO Y METODO PARA MANEJAR, ARCHIVAR Y/O EVALUAR DE DATOS DE PRESION SANGUINEA.|Un dispositivo y método para administrar, archivar y/o evaluar datos de presión sanguínea de una pluralidad de pacientes; los datos de presión sanguínea se adquieren utilizando monitores de presión sanguínea; los datos de presión sanguínea para cada paciente se almacenan por separado en un espacio para almacenamiento individual en un servidor de datos central; una conexión de red que incluye por lo menos una terminal de red se utiliza para introducir datos en el espacio para almacenamiento individual; un dispositivo de control controla el acceso a espacios para almacenamiento al comparar un código de acceso transmitido incluyendo un código de identificación de dispositivo único para el monitor de presión sanguínea del paciente que corresponde con el espacio para almacenamiento individual con un código de acceso único que corresponde con el espacio para el almacenamiento individual.|GIERSIEPEN, MARTIN; WUNDER, DIETER; HECK, ULRICH; FREUND, DIRK; HARTTMANN, BRIGITTE; HOLLINGER, STEFAN; RÖNNEBERG, GERRIT; SCHNAK, FRED; KRESSMANN, FRANK; WIENEKE, PAUL; Hans-Thoma-Str. 15, 61440, Oberursel, ALEMANIA|KAZ EUROPE SA; Place Chauderon 18, CH-1003, Lausanne, SUIZA|
298753|Patente|MX/a/2010/010970|05/10/2010|02/05/2012|<i>G06F3/00</i> <b>(2006-01)</b>|SISTEMA, METODO Y APARATO DE UN DISPOSITIVO DE INTERFAZ DE CLIENTE.|Un dispositivo de interfaz de cliente para conectar con un cliente en una tienda, puede incluir una pantalla táctil para desplegar información y recibir instrucciones del cliente, un teclado, un sensor inalámbrico para escanear etiquetas unidas a la mercancía de la tienda y al menos un componente de entrada de usuario para aceptar el pago del cliente por los artículos comprados, en donde la pantalla táctil, el teclado numérico, el sensor inalámbrico y al menos un componente de entrada de usuario son componentes modulares desechables.|JASON TODD; TIM WEBB; 407 Northcrest, 72745, Lowell, Arkansas, E.U.A.|WAL-MART STORES, INC.*; 702 S.W. 8th Street, 72716-8095, Bentonville, Arkansas, E.U.A.|
298754|Patente|MX/a/2010/010891|30/09/2010|02/05/2012|<i>G01R31/36</i> <b>(2006-01)</b>; <i>G08C23/04</i> (2006-01); <i>H04N5/445</i> (2011-01)|SISTEMAS, METODOS Y APARATOS PARA AJUSTAR UN UMBRAL DE DETECCION DE BATERIA BAJA DE UN CONTROL REMOTO.|Se proporcionan varias modalidades de sistemas, métodos y aparatos para ajustar un umbral de detección de batería baja en un control remoto. Una modalidad de un método incluye determinar un tipo de batería [702] que activa un control remoto de un dispositivo de entretenimiento y determinar un primer umbral [704) de batería baja para la batería con base en el tipo de la batería. El primer umbral de batería baja indica una condición de batería baja del control remoto. En respuesta a medir un voltaje de la batería [706], se toma una determinación con respecto a si el voltaje de la batería es menor que el umbral [708] de batería baja. En respuesta a determinar que el voltaje de la batería es menor que el primer umbral de batería baja, se transmite un mensaje [710] de batería baja a un dispositivo de entretenimiento. El dispositivo, de entretenimiento utiliza el mensaje para presentarle a un usuario un indicador con respecto a la condición de batería baja del control remoto.|WILLIAM R. REAMS; 10644 E. Maplewood Drive, 80111, Englewood, Colorado, E.U.A.|ECHOSTAR TECHNOLOGIES L.L.C.*; 90 Inverness Circle East, 80112, Englewood, Colorado, E.U.A.|
298755|Patente|MX/a/2010/002202|24/02/2010|02/05/2012|<i>G08B13/14</i> <b>(2006-01)</b>|SISTEMA Y METODO DE RED DE SENSORES MEJORADOS DE DISPOSITIVOS DE TRANSPORTE PARA IDENTIFICACIÓN DE RADIO FRECUENCIA.|Un sistema y método de sensor móvil para manejar el inventario de una tienda incluye por lo menos un escáner de identificación por radiofrecuencia (RFID) para recibir lecturas de etiquetas de RFID, por lo menos un sensor externo para detectar por lo menos un evento externo diferente a las señales de RE de las etiquetas de RFID y un procesador configurado para actualizar una base de datos de RFID para almacenar las lecturas de la etiqueta de RFID, en donde la actualización se basa en una función de correlación de las lecturas de las etiquetas de RFID y los eventos externos detectados por lo menos en uno de los sensores externos.|RICHARD BENNETT ULRICH; 1317 Quail Run Circle, 72712, Bentonville, Arkansas, E.U.A.|WAL-MART STORES, INC.*; 702 S.W. 8th Street, 72716-8095, Bentonville, Arkansas, E.U.A.|
298756|Patente|MX/a/2007/004874|23/04/2007|02/05/2012|<i>B01D21/30</i> <b>(2006-01)</b>; <i>B01D29/11</i> <b>(2006-01)</b>; <i>B01D27/10</i> <b>(2006-01)</b>|VALVULA DE CONTRAPRESION ANTI-DRENAJE DE FILTRO Y SELLO DE PAQUETE DE MEDIOS.|Se proporciona un filtro que tiene un alojamiento que incluye una cavidad. Un tubo central incluye primer y segundo extremos separados entre sí. Un asiento se extiende radialmente desde el tubo central y se dispone entre el primer y segundo extremos. Un paquete de medios se dispone dentro de la cavidad y se soporta en el asiento de tal manera que el tubo central se extiende a través de una abertura central del paquete de medios. Una válvula de contrapresión anti-drenaje se soporta en el asiento y está en acoplamiento de sellado con el tubo central y el paquete de medios. El alojamiento incluye una placa de derivación que proporciona una entrada y una salida. Un reborde anular de la válvula de contrapresión anti-drenaje está en acoplamiento de sellado con la placa de derivación cuando está en una posición cerrada en la cual el motor se apaga.|L. STEVEN CLINE; BRIAN GLENN YATES; ALLEN BUHR WRIGHT; 3579 Barbary Bluff, 28348, Hope Mills, North Caroline, E.U.A.|PUROLATOR FILTERS NA LLC.*; 3200 Natal Road, 28306, Fayetteville, North Caroline, E.U.A.|
298757|Patente|PA/a/2002/007303|26/07/2002|02/05/2012|<i>A61C15/00</i> <b>(2006-01)</b>; <i>A61K33/40</i> <b>(2006-01)</b>|COMPOSICIONES Y METODOS PARA BLANQUEAR Y DESENSIBILIZAR LOS DIENTES.|Composición y métodos que incluyen un blanqueador dental y nitrato de potasio para blanqueo mejorado y sensibilidad del diente reducida. El nitrato de potasio mejora la blancura de los dientes más allá del efecto blanqueador del agente dental y reduce o elimina la sensibilidad del diente que se ocasionaría de otra forma por el blanqueador. Para el tratamiento prolongado de los dientes, se ha encontrado que cantidades menores de nitrato de potasio (por ejemplo 0.5%) trabajan mejor que cantidades mayores (por ejemplo 3%). Las composiciones (40) dentales pueden aplicarse directamente a los dientes de la persona, o pueden cargarse en una bandeja (50) dental de pared delgada flexible, y ajuste cómodo y colocarse sobre los dientes de la persona. En ese caso, las composiciones (40) dentales incluirán un agente adhesivo, tal como carboxipolimetileno, que ayuda a retener la composición de la bandeja (50) dental sobre los dientes de la persona como resultado de las propiedades adhesivas de la composición (40) dental más que debido al entrelazado mecánico de la bandeja (50) sobre los dientes de la persona. Las composiciones dentales pueden incluir adicionalmente agentes anticariogénicos y antimicrobianos.|FISCHER, DAN, E.; JENSEN, STEVEN, D.;  10444 South Dimple Dell Road, 84093., Sandy, Utah, E.U.A.|ULTRADENT PRODUCTS, INC.; 505 West 10200 South, 84905., South Jordan, Utah, E.U.A.|
298758|Patente|MX/a/2008/016497|19/12/2008|02/05/2012|<i>B65B21/12</i> <b>(2006-01)</b>; <i>B65B21/02</i> <b>(2006-01)</b>; <i>B65B21/18</i> <b>(2006-01)</b>|INSTALACION PARA EMPAQUETAR OBJETOS TALES COMO BOTELLAS DE DIFERENTES DISEÑOS.|La instalación de empaque comprende un cabezal de manejo (10) en el cual herramientas de sujeción de tipo tulipán (11) están conectadas a dicho cabezal (19) por medio de acopladores (13) que pueden ser desactivados para permitir cambiarlos y reemplazarlos con herramientas apropiadas para diferentes diseños de botellas (2). La instalación comprende una recámara (15) en la cual pueden ser alojados al menos dos grupos separados de herramientas (11), dicha recámara (15) contiene una multitud de unidades de presentación (23) apropiadas para las formas y dimensiones de dichas herramientas, cuyas unidades de presentación (23) consisten en un eje (25) para acomodar dichas herramientas (11), dicho eje (25) es del tipo flotante para proporcionar algo de flexibilidad, y más importante, para acoplarse con dichas herramientas (11) no sólo durante la operación de depósito, sino también durante la operación de sujetarlas. La recámara (15) es móvil y está montada en carriles (19) para permitirle moverse entre su posición inactiva, alejada del campo de acción del cabezal de manejo de la botella (10), y su posición activa dentro de dicho campo de acción de dicho cabezal (10) y en particular en la estación (5) en donde las botellas son levantadas por dicho cabezal (10).|ERIC DEVAUX; Avenue de la Patrouille de France, F-76930, Octeville Sur Mer, , FRANCIA|SIDEL PARTICIPATIONS.*; Avenue de la Patrouille de France, 76930, Octeville Sur Mer, , FRANCIA|
298759|Patente|MX/a/2008/010715|20/08/2008|02/05/2012|<i>B65D21/02</i> <b>(2006-01)</b>|UN METODO PARA PRODUCIR UN CONTENEDOR SEPARABLEMENTE CONECTADO QUE TIENE PROPIEDADES DE BARRERA.|Se proporciona un método para formar un ensamble de contenedor de paquetes múltiples que tiene por lo menos dos contenedores unidos conjuntamente a través de un canal. El método incluye los pasos de proporcionar una lámina que tiene una capa de barreta termoformando la lámina a un ensamble de contenedor de paquetes múltiples teniendo una pluralidad de contenedores, en donde cada contenedor comprende una pestaña y las pestañas de contenedores adyacentes están conectadas a través de un área diseñada por ingeniería de debilidad o canal. Los contenedores resultantes pueden ser utilizados para productos alimenticios listos para comes, estables al almacenamiento, y de baja humedad.|ERIC THOMAS HENDERSON; JOHN JOSEPH MICHELS; 3549 Vincrest, 75229, Dallas, Texas, E.U.A.|FRITO-LAY NORTH AMERICA, INC.; 7701 Legacy Drive, 75024-4099, Plano, Texas, E.U.A.|
298760|Patente|MX/a/2009/011223|16/10/2009|02/05/2012|<i>G01V1/36</i> <b>(2006-01)</b>; <i>G01V1/38</i> <b>(2006-01)</b>|MITIGACION DEL RUIDO EN DATOS SISMICOS MARINOS DE COMPONENTES MULTIPLES A TRAVES DE LA RELACION ENTRE LOS COMPONENTES DEL CAMPO DE ONDA EN LA SUPERFICIE LIBRE.|Se presentan un método y aparato que implementan una técnica para mitigar el ruido en los datos sísmicos. La técnica incluye estimar un componente de ruido en un conjunto de datos sísmicos de componentes múltiples que representan un campo de onda grabado de la relación en la superficie libre de un componente ascendente y un componente descendente descompuestos del campo de onda grabado; y eliminar el componente de ruido estimado de los datos sísmicos. El componente de ruido puede ser estimado descomponiendo un campo de onda grabado en un componente ascendente y un componente descendente y aislando un componente de ruido en el campo de onda grabado de la relación de los componentes ascendentes y descendentes de los compuestos en la superficie libre.|JOHAN OLOF ANDERS ROBERTSSON; DIRK-JAN VAN MANEN; Flat 2, 2 St. Johns Terrace Road, RH1 6HS, Redhill Surrey, , REINO UNIDO|GECO TECHNOLOGY B.V.*; Gevers Deynootweg 61, NL-2586, BJ S Gravenhage, , PAISES BAJOS|
298761|Patente|MX/a/2008/003583|13/03/2008|02/05/2012|<i>B60T1/08</i> <b>(2006-01)</b>; <i>B60T8/34</i> <b>(2006-01)</b>; <i>B60T8/58</i> <b>(2006-01)</b>|MODULO DE SEGURIDAD DE FRENOS NEUMATICOS DE EMERGENCIA.|Un módulo de seguridad de frenos neumáticos de emergencia comprende una válvula de transferencia de alta capacidad conectada en una primera posición con la salida de una válvula de relé de carga variable y en una segunda posición conectada con una fuente de presión de aire de frenado de emergencia. N depósito de tiempo está en comunicación con el puerto piloto de la válvula de transferencia de alta capacidad. Un válvula de verificación/circuito de tapón proporciona las conexiones paralelas entre la válvula de doble verificación y la salida de la válvula de relé de carga variable, de modo que el flujo desde la válvula de relé de cargo variable pasa a través del tapón de carga y el flujo opuesto a la válvula de relé de carga variable para a través del tapón de disipación.|JAMES A. WOOD; ROBERT N. CHARPF; DAVID E. SCHWEIKERT; 710 Hollifield Terrace, 29303, Spartanburg, South Caroline, E.U.A.|WABTEC HOLDING CORPORATION; 1001 Air Brake Avenue, 15148, Wilmerding, Pennsylvania, E.U.A.|
298762|Patente|MX/a/2010/003457|26/03/2010|02/05/2012|<i>G01V1/28</i> <b>(2006-01)</b>; <i>G01V1/30</i> <b>(2006-01)</b>|DETERMINACION DE FALLA DE TRANSMISIVIDAD EN UN DEPOSITO SUBTERRANEO.|Para determinar la transmisividad de fallas en un depósito subterráneo se identifican estructuras de fallas en el depósito subterráneo y se calculan datos de impedancia elástica a partir de información de registro de pozo e información sísmica. Se calculan parámetros de normalización que tienen una orientación predeterminada con respecto a las estructuras de fallas identificadas y se normalizan valores de flujo de impedancia elástica con respecto a los parámetros de normalización, donde los valores normalizados de flujo de impedancia elástica son indicativos de transmisividades de estructuras de fallas en la estructura subterránea.|LARS SONNELAND; ROBER GODFREY; JEAN-MICHAEL GEHENN; THIBAUT CHERET; RICHARD DOLMAN; MICHAEL NICKEL; Mt. Pleasant Cansiron Lane Ashurstwood East Grinstead, RH19 3SF, West Sussex, Sussex, REINO UNIDO|GECO TECHNOLOGY B.V.*; Gevers Deynootweg 61, NL-2586, BJ S Gravenhage, , PAISES BAJOS|
298763|Patente|MX/a/2009/009863|14/09/2009|02/05/2012|<i>F03D1/00</i> <b>(2006-01)</b>|MASTIL PARA TURBINA EOLICA.|La presente invención se refiere a un mástil (10, 24, 42, 44) para una turbina eólica, el mástil se ahusa hacia la parte superior y comprende por lo menos dos secciones de mástil anulares (12, 14, 16, 18, 20; 26, 28, 30; 46, 48, 50) arregladas una encima de otra; en donde cada una de las secciones de mástil anulares consiste de una pluralidad de partes de pared prefabricadas, por lo menos algunas de las cuales tienen una sección curvada; caracterizado porque las por lo menos secciones curvadas de partes de pared prefabricadas en diferentes secciones de mástil anulares son aparte de una posible diferencia de su longitud en la dirección longitudinal del mástil idénticas hasta el límite en que las partes de pared correspondientes se pueden fabricar con el uso del mismo molde o con el uso de un proceso de doblado idéntico.|ANTON HERRIUS DE ROEST; Schubertlaan 16, NL-7522, JR Enschede, , PAISES BAJOS|MECAL APPLIED MECHANICS B.V.*; Capitool 64, NL-7521, PL Enschede, , PAISES BAJOS|
